counselling_body,institute_type,college_name,branch_name,college_id,branch_id,category,quota,seat_pool,year,round_number,opening_rank,closing_rank
JoSAA,NIT,IIIT Hyderabad,Civil,7,4,ST,HS,Female-Only,2021,6,34978,38620
JoSAA,IIIT,NIT Warangal,Computer Science,3,2,OBC-NCL,OS,Gender-Neutral,2021,6,33825,36700
CSAB,IIIT,NIT Trichy,Mechanical,4,2,ST,HS,Female-Only,2023,3,7246,11983
CSAB,IIIT,NIT Trichy,Mechanical,6,4,ST,HS,Gender-Neutral,2023,3,660,4093
JoSAA,GFTI,NIT Warangal,Electrical,5,3,SC,HS,Gender-Neutral,2021,3,1412,5696
JoSAA,GFTI,NIT Trichy,Mechanical,2,2,OPEN,AI,Female-Only,2022,1,18305,21684
CSAB,NIT,NIT Surathkal,Electrical,6,2,ST,HS,Female-Only,2021,6,11695,16103
JoSAA,IIIT,NIT Surathkal,Electrical,3,2,EWS,OS,Female-Only,2023,6,22130,25111
JoSAA,NIT,NIT Warangal,Electrical,8,3,OPEN,HS,Female-Only,2021,6,21429,21794
JoSAA,NIT,NIT Surathkal,Mechanical,2,3,OBC-NCL,HS,Gender-Neutral,2023,5,38242,40682
CSAB,NIT,NIT Surathkal,Electrical,1,4,SC,HS,Gender-Neutral,2023,3,2751,5999
CSAB,NIT,IIIT Hyderabad,Civil,9,3,OBC-NCL,OS,Gender-Neutral,2021,4,10106,13565
CSAB,IIIT,IIIT Hyderabad,Computer Science,3,3,OBC-NCL,HS,Female-Only,2021,2,42801,43905
JoSAA,NIT,NIT Surathkal,Computer Science,1,1,OPEN,OS,Gender-Neutral,2022,4,49040,51234
JoSAA,IIIT,NIT Warangal,Electrical,7,4,OBC-NCL,OS,Female-Only,2023,1,35745,40562
CSAB,IIIT,IIIT Hyderabad,Computer Science,5,2,ST,HS,Female-Only,2022,1,22066,25437
CSAB,GFTI,NIT Trichy,Mechanical,5,3,OBC-NCL,OS,Gender-Neutral,2021,6,27946,32568
CSAB,IIIT,NIT Trichy,Mechanical,1,2,SC,AI,Female-Only,2023,4,21874,22183
CSAB,GFTI,NIT Trichy,Computer Science,9,2,SC,HS,Gender-Neutral,2022,6,4183,5170
JoSAA,IIIT,NIT Warangal,Mechanical,7,1,EWS,HS,Female-Only,2022,5,33613,33866
CSAB,IIIT,NIT Surathkal,Computer Science,8,3,SC,OS,Gender-Neutral,2022,1,8849,12542
JoSAA,IIIT,NIT Trichy,Computer Science,9,4,OBC-NCL,OS,Female-Only,2021,1,30883,31397
CSAB,GFTI,NIT Warangal,Computer Science,6,3,SC,HS,Gender-Neutral,2021,4,17425,20949
JoSAA,GFTI,IIIT Hyderabad,Electrical,5,2,OPEN,AI,Gender-Neutral,2021,1,18780,20164
CSAB,NIT,NIT Surathkal,Computer Science,6,4,SC,OS,Female-Only,2023,5,17423,20671
CSAB,GFTI,IIIT Hyderabad,Electrical,2,3,ST,OS,Female-Only,2021,5,22784,23652
CSAB,GFTI,NIT Warangal,Computer Science,4,2,OPEN,AI,Gender-Neutral,2023,5,34593,35675
CSAB,GFTI,NIT Trichy,Computer Science,3,2,EWS,AI,Female-Only,2022,2,12313,15615
JoSAA,GFTI,NIT Trichy,Computer Science,7,1,ST,HS,Female-Only,2022,5,31931,36705
CSAB,NIT,NIT Warangal,Mechanical,9,1,OBC-NCL,AI,Female-Only,2021,5,42396,46022
JoSAA,GFTI,NIT Trichy,Electrical,5,1,OBC-NCL,HS,Gender-Neutral,2022,2,47030,49917
JoSAA,IIIT,NIT Surathkal,Electrical,6,2,OBC-NCL,AI,Gender-Neutral,2021,6,27813,30123
JoSAA,IIIT,NIT Warangal,Computer Science,2,3,ST,OS,Female-Only,2023,3,41721,42859
JoSAA,GFTI,IIIT Hyderabad,Computer Science,3,1,ST,HS,Female-Only,2022,1,7287,11319
CSAB,GFTI,NIT Warangal,Mechanical,3,3,ST,HS,Gender-Neutral,2021,5,32900,33541
JoSAA,IIIT,NIT Surathkal,Mechanical,9,1,OPEN,HS,Female-Only,2022,1,32683,33141
JoSAA,IIIT,NIT Surathkal,Mechanical,7,4,OPEN,AI,Gender-Neutral,2022,4,47761,48710
JoSAA,NIT,NIT Warangal,Electrical,8,4,OBC-NCL,OS,Female-Only,2021,1,14508,19130
CSAB,IIIT,NIT Warangal,Electrical,9,1,SC,HS,Female-Only,2022,6,22469,25113
CSAB,IIIT,NIT Trichy,Electrical,6,2,OBC-NCL,HS,Female-Only,2022,2,48028,52709
CSAB,GFTI,NIT Surathkal,Computer Science,4,1,EWS,HS,Gender-Neutral,2022,1,3514,5445
CSAB,IIIT,NIT Warangal,Electrical,1,1,OPEN,HS,Gender-Neutral,2022,1,19610,21182
JoSAA,NIT,NIT Warangal,Civil,8,2,ST,OS,Gender-Neutral,2023,1,12220,13756
JoSAA,IIIT,NIT Surathkal,Civil,7,4,OPEN,AI,Gender-Neutral,2022,3,34411,34840
CSAB,GFTI,NIT Warangal,Mechanical,2,3,ST,OS,Female-Only,2022,3,33139,37593
JoSAA,GFTI,NIT Trichy,Electrical,8,1,EWS,HS,Female-Only,2021,4,5395,9733
JoSAA,IIIT,NIT Surathkal,Civil,5,2,EWS,OS,Gender-Neutral,2023,2,20560,24668
JoSAA,GFTI,NIT Trichy,Mechanical,7,1,OPEN,HS,Female-Only,2021,1,15063,19885
CSAB,NIT,NIT Trichy,Electrical,4,2,ST,AI,Female-Only,2021,1,11680,13168
CSAB,NIT,NIT Trichy,Computer Science,5,3,EWS,AI,Gender-Neutral,2021,1,22386,26671
JoSAA,IIIT,NIT Trichy,Civil,8,3,OBC-NCL,AI,Female-Only,2023,1,27428,28247
CSAB,IIIT,NIT Surathkal,Computer Science,1,4,OBC-NCL,HS,Female-Only,2021,3,19193,22528
CSAB,IIIT,NIT Trichy,Electrical,1,2,ST,OS,Gender-Neutral,2021,6,21705,26381
CSAB,GFTI,NIT Trichy,Civil,4,2,OPEN,AI,Female-Only,2021,6,45465,47696
CSAB,NIT,NIT Warangal,Electrical,3,4,EWS,HS,Female-Only,2022,4,44913,46113
CSAB,NIT,NIT Surathkal,Computer Science,2,4,OPEN,HS,Female-Only,2021,5,46471,47243
JoSAA,GFTI,NIT Surathkal,Civil,3,2,OBC-NCL,OS,Gender-Neutral,2023,2,42805,43421
CSAB,NIT,IIIT Hyderabad,Computer Science,1,4,EWS,AI,Gender-Neutral,2023,6,47698,50330
JoSAA,IIIT,NIT Surathkal,Electrical,1,3,OPEN,HS,Female-Only,2022,1,6822,10592
JoSAA,IIIT,NIT Surathkal,Electrical,6,1,SC,OS,Female-Only,2023,6,41069,41950
CSAB,IIIT,IIIT Hyderabad,Computer Science,5,3,ST,AI,Female-Only,2023,4,37012,40635
JoSAA,NIT,NIT Surathkal,Civil,8,4,ST,OS,Gender-Neutral,2022,5,38474,42132
JoSAA,IIIT,NIT Surathkal,Computer Science,2,2,SC,OS,Gender-Neutral,2021,6,6866,9352
JoSAA,GFTI,NIT Surathkal,Electrical,4,2,OBC-NCL,HS,Gender-Neutral,2022,4,49982,54864
CSAB,GFTI,NIT Surathkal,Computer Science,8,3,EWS,HS,Female-Only,2021,3,16028,17717
CSAB,NIT,IIIT Hyderabad,Electrical,6,2,ST,HS,Female-Only,2021,5,21374,22975
JoSAA,GFTI,NIT Surathkal,Computer Science,1,4,SC,OS,Female-Only,2023,4,34516,38410
CSAB,GFTI,NIT Surathkal,Civil,4,3,SC,HS,Female-Only,2022,6,20712,25130
CSAB,NIT,IIIT Hyderabad,Civil,1,2,OBC-NCL,OS,Female-Only,2023,3,34998,38178
CSAB,IIIT,NIT Warangal,Computer Science,2,1,OBC-NCL,OS,Gender-Neutral,2023,4,47260,48436
CSAB,IIIT,NIT Trichy,Computer Science,5,1,OPEN,HS,Female-Only,2021,4,29147,30347
JoSAA,IIIT,NIT Warangal,Civil,8,4,ST,AI,Female-Only,2023,6,43456,44058
JoSAA,NIT,IIIT Hyderabad,Electrical,8,2,OPEN,AI,Female-Only,2022,5,37234,38673
CSAB,GFTI,NIT Trichy,Civil,3,4,SC,AI,Gender-Neutral,2023,3,1606,5591
CSAB,IIIT,IIIT Hyderabad,Electrical,4,3,EWS,OS,Female-Only,2023,1,15322,16045
JoSAA,IIIT,IIIT Hyderabad,Computer Science,6,1,EWS,OS,Gender-Neutral,2021,2,12463,14449
JoSAA,NIT,NIT Surathkal,Computer Science,3,3,OBC-NCL,OS,Gender-Neutral,2022,5,19713,23163
CSAB,IIIT,NIT Trichy,Electrical,2,2,EWS,HS,Gender-Neutral,2023,3,44663,45813
JoSAA,NIT,NIT Surathkal,Computer Science,6,4,EWS,OS,Gender-Neutral,2021,4,30728,34600
CSAB,GFTI,NIT Trichy,Electrical,5,4,EWS,HS,Gender-Neutral,2023,3,42726,46742
CSAB,NIT,IIIT Hyderabad,Mechanical,5,4,SC,HS,Female-Only,2022,2,45484,49602
JoSAA,NIT,IIIT Hyderabad,Civil,5,3,EWS,AI,Female-Only,2023,6,4236,5665
JoSAA,NIT,NIT Warangal,Mechanical,5,1,EWS,AI,Gender-Neutral,2023,2,46346,50560
CSAB,NIT,NIT Trichy,Electrical,3,3,EWS,AI,Gender-Neutral,2021,1,11261,14728
CSAB,GFTI,NIT Surathkal,Civil,7,3,OPEN,HS,Gender-Neutral,2023,1,35557,39608
JoSAA,GFTI,NIT Warangal,Electrical,6,2,SC,HS,Female-Only,2021,2,23674,26271
CSAB,IIIT,NIT Warangal,Civil,4,2,OBC-NCL,HS,Female-Only,2022,5,27002,28675
JoSAA,GFTI,NIT Warangal,Civil,2,2,OPEN,OS,Gender-Neutral,2023,5,2910,5644
CSAB,GFTI,NIT Surathkal,Civil,9,1,ST,HS,Female-Only,2022,4,11763,14631
JoSAA,IIIT,NIT Warangal,Civil,1,1,SC,AI,Female-Only,2022,1,6252,7563
JoSAA,GFTI,NIT Surathkal,Electrical,4,2,SC,AI,Gender-Neutral,2023,4,112,987
JoSAA,NIT,NIT Warangal,Civil,1,2,ST,HS,Gender-Neutral,2021,1,11262,12522
CSAB,NIT,NIT Surathkal,Civil,6,1,ST,HS,Female-Only,2022,2,22422,24905
CSAB,IIIT,IIIT Hyderabad,Mechanical,4,4,ST,AI,Female-Only,2022,5,8099,10853
JoSAA,IIIT,IIIT Hyderabad,Computer Science,5,1,OBC-NCL,HS,Female-Only,2023,5,7319,10959
CSAB,IIIT,IIIT Hyderabad,Computer Science,5,1,EWS,AI,Gender-Neutral,2023,2,5428,10225
JoSAA,NIT,IIIT Hyderabad,Mechanical,9,1,SC,OS,Gender-Neutral,2023,4,3721,8456
JoSAA,GFTI,IIIT Hyderabad,Mechanical,1,2,EWS,AI,Gender-Neutral,2023,4,24356,25551
CSAB,NIT,NIT Warangal,Electrical,2,4,EWS,OS,Female-Only,2023,3,44533,44656
CSAB,IIIT,NIT Warangal,Electrical,6,1,ST,HS,Female-Only,2023,1,11414,16233
JoSAA,GFTI,NIT Warangal,Electrical,5,2,OBC-NCL,HS,Gender-Neutral,2021,4,752,4408
CSAB,GFTI,NIT Surathkal,Mechanical,7,3,OPEN,OS,Female-Only,2022,2,16282,17461
CSAB,NIT,NIT Surathkal,Mechanical,3,3,OBC-NCL,HS,Gender-Neutral,2021,4,41680,46098
JoSAA,IIIT,NIT Surathkal,Civil,3,1,EWS,OS,Female-Only,2021,5,36658,36936
JoSAA,NIT,NIT Surathkal,Electrical,2,3,OBC-NCL,HS,Gender-Neutral,2023,1,15759,18706
CSAB,GFTI,IIIT Hyderabad,Electrical,3,4,ST,AI,Female-Only,2022,6,34513,36573
JoSAA,NIT,IIIT Hyderabad,Electrical,1,3,OPEN,HS,Female-Only,2021,3,10535,12108
JoSAA,NIT,IIIT Hyderabad,Computer Science,5,3,ST,AI,Gender-Neutral,2023,1,28167,33155
CSAB,IIIT,NIT Trichy,Civil,5,4,OPEN,AI,Gender-Neutral,2023,5,22358,23670
JoSAA,IIIT,NIT Warangal,Electrical,7,1,EWS,OS,Gender-Neutral,2022,5,28387,29296
JoSAA,GFTI,NIT Surathkal,Electrical,4,1,OPEN,HS,Gender-Neutral,2021,5,3788,4307
CSAB,NIT,NIT Surathkal,Electrical,3,4,OPEN,OS,Gender-Neutral,2021,5,7789,11548
CSAB,NIT,IIIT Hyderabad,Computer Science,1,4,OPEN,HS,Female-Only,2021,2,1479,5395
JoSAA,NIT,NIT Surathkal,Computer Science,8,4,OBC-NCL,AI,Gender-Neutral,2023,3,37111,38489
JoSAA,GFTI,NIT Surathkal,Mechanical,3,3,OBC-NCL,AI,Gender-Neutral,2022,6,43105,45728
CSAB,GFTI,NIT Warangal,Civil,2,4,EWS,HS,Gender-Neutral,2022,5,27724,29264
CSAB,IIIT,IIIT Hyderabad,Mechanical,4,2,OPEN,HS,Gender-Neutral,2021,5,26064,27504
CSAB,IIIT,NIT Warangal,Civil,3,3,SC,OS,Gender-Neutral,2023,4,22991,25312
CSAB,IIIT,NIT Trichy,Computer Science,1,1,EWS,HS,Female-Only,2021,3,49198,51690
JoSAA,NIT,NIT Trichy,Electrical,3,1,OPEN,HS,Gender-Neutral,2022,1,38479,39940
CSAB,NIT,NIT Trichy,Mechanical,2,1,OPEN,HS,Gender-Neutral,2023,3,12616,13307
CSAB,IIIT,IIIT Hyderabad,Electrical,8,3,OBC-NCL,OS,Gender-Neutral,2021,3,13986,14612
JoSAA,NIT,NIT Surathkal,Mechanical,6,2,EWS,HS,Female-Only,2021,6,20407,23010
CSAB,IIIT,IIIT Hyderabad,Computer Science,9,4,OPEN,AI,Female-Only,2023,3,24943,26335
JoSAA,GFTI,IIIT Hyderabad,Computer Science,8,4,OPEN,OS,Gender-Neutral,2022,6,46584,48338
CSAB,IIIT,NIT Surathkal,Computer Science,3,1,EWS,OS,Gender-Neutral,2023,5,6012,6299
CSAB,GFTI,NIT Warangal,Mechanical,5,1,SC,AI,Female-Only,2021,5,21614,24472
CSAB,NIT,NIT Trichy,Civil,7,3,EWS,AI,Female-Only,2021,2,21923,22551
JoSAA,IIIT,NIT Warangal,Mechanical,5,2,EWS,AI,Female-Only,2021,6,28897,29430
JoSAA,NIT,NIT Trichy,Civil,8,4,SC,HS,Gender-Neutral,2021,6,6549,10161
CSAB,GFTI,IIIT Hyderabad,Mechanical,5,3,EWS,AI,Gender-Neutral,2022,1,1825,3729
JoSAA,GFTI,NIT Trichy,Mechanical,1,4,OPEN,HS,Female-Only,2022,4,15970,16372
JoSAA,GFTI,IIIT Hyderabad,Computer Science,5,1,EWS,OS,Gender-Neutral,2021,3,9404,13686
JoSAA,NIT,NIT Warangal,Electrical,4,4,SC,OS,Female-Only,2022,1,7622,8159
JoSAA,NIT,IIIT Hyderabad,Electrical,6,2,ST,AI,Female-Only,2022,6,13763,16451
JoSAA,NIT,NIT Warangal,Civil,3,2,EWS,HS,Female-Only,2022,1,4884,5816
JoSAA,NIT,NIT Surathkal,Electrical,5,1,OBC-NCL,AI,Gender-Neutral,2021,2,9572,10468
CSAB,GFTI,NIT Surathkal,Mechanical,2,2,OPEN,AI,Female-Only,2023,4,29052,29711
CSAB,GFTI,NIT Surathkal,Mechanical,6,2,OPEN,HS,Female-Only,2023,6,10155,13843
JoSAA,IIIT,IIIT Hyderabad,Computer Science,6,3,OBC-NCL,AI,Gender-Neutral,2023,6,29608,30469
CSAB,IIIT,NIT Surathkal,Computer Science,5,4,OBC-NCL,OS,Female-Only,2021,3,12776,16450
CSAB,NIT,NIT Trichy,Electrical,6,1,EWS,AI,Gender-Neutral,2022,4,25292,29177
CSAB,GFTI,NIT Warangal,Civil,7,1,OBC-NCL,HS,Female-Only,2022,2,24822,27436
CSAB,GFTI,NIT Warangal,Electrical,5,1,ST,HS,Gender-Neutral,2021,5,7546,8330
JoSAA,GFTI,NIT Trichy,Electrical,1,1,SC,OS,Female-Only,2021,1,4825,9158
CSAB,IIIT,IIIT Hyderabad,Electrical,8,1,OBC-NCL,HS,Female-Only,2023,3,20161,20838
CSAB,IIIT,IIIT Hyderabad,Electrical,4,2,OBC-NCL,HS,Female-Only,2023,6,47637,52542
JoSAA,GFTI,NIT Warangal,Mechanical,9,3,ST,OS,Female-Only,2021,5,22771,23098
JoSAA,GFTI,NIT Surathkal,Civil,6,1,OPEN,AI,Female-Only,2023,2,1509,3937
CSAB,GFTI,IIIT Hyderabad,Mechanical,1,3,OPEN,OS,Gender-Neutral,2022,4,8305,11136
CSAB,IIIT,IIIT Hyderabad,Civil,3,3,EWS,AI,Gender-Neutral,2021,1,16465,17392
CSAB,GFTI,NIT Trichy,Computer Science,3,2,ST,OS,Female-Only,2021,3,356,886
CSAB,GFTI,NIT Trichy,Electrical,4,1,SC,AI,Female-Only,2022,6,15804,16967
CSAB,NIT,NIT Surathkal,Mechanical,6,2,SC,OS,Female-Only,2022,6,30002,31811
CSAB,NIT,IIIT Hyderabad,Civil,7,1,ST,AI,Gender-Neutral,2022,5,35858,37192
JoSAA,IIIT,IIIT Hyderabad,Computer Science,4,2,SC,OS,Gender-Neutral,2023,5,1295,1696
CSAB,GFTI,NIT Trichy,Computer Science,6,3,OPEN,AI,Female-Only,2021,1,34112,35632
CSAB,GFTI,IIIT Hyderabad,Electrical,1,1,SC,OS,Gender-Neutral,2023,4,11515,16243
JoSAA,NIT,NIT Warangal,Civil,8,4,SC,HS,Female-Only,2022,2,39634,40502
JoSAA,IIIT,NIT Trichy,Mechanical,7,3,ST,AI,Female-Only,2023,4,21786,23290
JoSAA,NIT,NIT Surathkal,Electrical,9,4,ST,OS,Female-Only,2022,4,11762,12305
JoSAA,NIT,NIT Trichy,Mechanical,3,3,SC,AI,Gender-Neutral,2023,4,49078,52282
CSAB,NIT,IIIT Hyderabad,Computer Science,2,2,OBC-NCL,AI,Female-Only,2023,1,28843,33298
CSAB,NIT,NIT Surathkal,Mechanical,1,1,ST,OS,Female-Only,2022,1,32261,35666
CSAB,GFTI,NIT Trichy,Mechanical,3,3,EWS,AI,Female-Only,2023,2,43181,44819
CSAB,GFTI,NIT Warangal,Electrical,5,2,EWS,OS,Gender-Neutral,2021,4,2502,6532
CSAB,NIT,NIT Warangal,Mechanical,2,1,OPEN,HS,Gender-Neutral,2023,1,49748,51179
CSAB,IIIT,NIT Trichy,Electrical,3,1,SC,AI,Gender-Neutral,2023,2,13375,13544
JoSAA,IIIT,NIT Warangal,Computer Science,4,3,OBC-NCL,HS,Female-Only,2021,6,28282,31817
CSAB,IIIT,NIT Warangal,Electrical,7,1,OPEN,AI,Gender-Neutral,2022,2,15015,15595
JoSAA,IIIT,NIT Warangal,Electrical,3,3,SC,AI,Female-Only,2021,4,1009,5203
JoSAA,NIT,NIT Surathkal,Civil,9,1,ST,AI,Gender-Neutral,2023,3,48674,52270
CSAB,GFTI,NIT Warangal,Mechanical,8,4,EWS,OS,Female-Only,2022,4,472,3365
JoSAA,IIIT,NIT Warangal,Computer Science,4,2,OBC-NCL,HS,Gender-Neutral,2023,3,22720,25712
CSAB,NIT,NIT Warangal,Electrical,1,4,EWS,AI,Female-Only,2023,2,34212,35510
JoSAA,IIIT,NIT Surathkal,Computer Science,1,3,ST,OS,Gender-Neutral,2021,6,8615,11087
CSAB,IIIT,NIT Trichy,Civil,1,4,SC,AI,Gender-Neutral,2021,6,2531,4523
JoSAA,NIT,IIIT Hyderabad,Mechanical,1,3,ST,OS,Gender-Neutral,2022,1,21154,23137
CSAB,GFTI,NIT Warangal,Electrical,8,1,ST,AI,Female-Only,2022,6,32724,33621
CSAB,GFTI,NIT Trichy,Mechanical,3,1,EWS,HS,Gender-Neutral,2022,5,10685,10802
CSAB,NIT,NIT Warangal,Civil,6,3,OBC-NCL,HS,Gender-Neutral,2023,2,48330,48473
CSAB,GFTI,NIT Surathkal,Civil,3,4,ST,AI,Gender-Neutral,2021,1,32058,32312
CSAB,NIT,NIT Trichy,Computer Science,5,1,EWS,OS,Gender-Neutral,2021,6,1795,5343
JoSAA,NIT,NIT Surathkal,Electrical,7,2,OBC-NCL,AI,Female-Only,2021,2,34775,39713
JoSAA,NIT,NIT Warangal,Computer Science,2,1,SC,OS,Gender-Neutral,2022,4,33887,38067
JoSAA,GFTI,NIT Warangal,Civil,6,2,SC,AI,Female-Only,2021,6,44325,45850
CSAB,NIT,NIT Surathkal,Mechanical,6,4,OPEN,OS,Female-Only,2021,3,1503,5923
JoSAA,IIIT,IIIT Hyderabad,Computer Science,3,2,EWS,HS,Female-Only,2021,2,17910,22322
CSAB,GFTI,NIT Surathkal,Computer Science,6,2,OBC-NCL,AI,Female-Only,2022,1,8955,12694
CSAB,GFTI,NIT Warangal,Mechanical,5,2,ST,HS,Gender-Neutral,2021,4,38736,42962
JoSAA,GFTI,NIT Surathkal,Computer Science,2,2,SC,HS,Female-Only,2022,5,10939,12931
JoSAA,GFTI,IIIT Hyderabad,Mechanical,9,1,OBC-NCL,AI,Female-Only,2021,4,110,1107
CSAB,IIIT,NIT Surathkal,Electrical,8,2,EWS,AI,Female-Only,2021,6,39198,42722
JoSAA,GFTI,IIIT Hyderabad,Mechanical,3,1,OPEN,OS,Female-Only,2021,3,47929,52569
CSAB,GFTI,IIIT Hyderabad,Electrical,8,2,SC,OS,Gender-Neutral,2022,4,9330,10688
CSAB,NIT,NIT Surathkal,Mechanical,9,3,OBC-NCL,HS,Gender-Neutral,2022,5,40332,42447
CSAB,GFTI,NIT Surathkal,Civil,3,4,OBC-NCL,OS,Female-Only,2021,1,47614,52547
CSAB,IIIT,NIT Trichy,Civil,3,2,OBC-NCL,OS,Female-Only,2023,2,35871,37673
CSAB,IIIT,NIT Warangal,Electrical,2,3,EWS,AI,Female-Only,2022,3,29356,30329
JoSAA,IIIT,IIIT Hyderabad,Electrical,8,2,EWS,OS,Gender-Neutral,2022,5,25751,26416
JoSAA,IIIT,NIT Trichy,Civil,1,2,EWS,HS,Gender-Neutral,2021,6,32483,34601
CSAB,GFTI,NIT Surathkal,Electrical,8,2,ST,OS,Gender-Neutral,2023,6,40063,42048
CSAB,GFTI,NIT Warangal,Mechanical,7,3,OBC-NCL,HS,Gender-Neutral,2021,6,13762,15985
JoSAA,IIIT,NIT Trichy,Mechanical,7,4,SC,AI,Gender-Neutral,2022,3,13839,18581
JoSAA,IIIT,IIIT Hyderabad,Civil,3,3,EWS,HS,Female-Only,2022,4,48456,50870
CSAB,GFTI,NIT Trichy,Computer Science,1,4,EWS,OS,Gender-Neutral,2021,3,1889,6401
JoSAA,IIIT,IIIT Hyderabad,Mechanical,4,2,OBC-NCL,AI,Gender-Neutral,2021,6,19520,23503
CSAB,NIT,NIT Surathkal,Electrical,9,1,EWS,OS,Female-Only,2023,5,23861,27153
JoSAA,IIIT,NIT Warangal,Computer Science,5,2,ST,AI,Gender-Neutral,2023,2,40466,42425
CSAB,IIIT,NIT Warangal,Computer Science,1,4,ST,AI,Gender-Neutral,2022,2,37706,37830
JoSAA,NIT,NIT Warangal,Mechanical,5,3,EWS,OS,Gender-Neutral,2023,3,38740,42343
CSAB,NIT,NIT Surathkal,Mechanical,8,2,OBC-NCL,OS,Female-Only,2023,6,44235,48590
JoSAA,GFTI,IIIT Hyderabad,Computer Science,8,3,OBC-NCL,AI,Gender-Neutral,2022,1,37167,38404
JoSAA,GFTI,NIT Surathkal,Computer Science,5,3,OBC-NCL,AI,Female-Only,2022,3,17457,18746
CSAB,NIT,NIT Warangal,Civil,9,3,OPEN,OS,Female-Only,2022,6,39951,44849
JoSAA,NIT,NIT Surathkal,Electrical,1,2,EWS,HS,Gender-Neutral,2022,4,38362,42558
CSAB,GFTI,NIT Surathkal,Civil,4,3,OBC-NCL,OS,Gender-Neutral,2021,2,11417,14674
JoSAA,IIIT,NIT Surathkal,Mechanical,3,3,ST,AI,Gender-Neutral,2022,2,21634,24101
CSAB,NIT,IIIT Hyderabad,Civil,2,2,SC,OS,Gender-Neutral,2022,2,25834,30411
JoSAA,GFTI,NIT Trichy,Civil,8,3,SC,HS,Female-Only,2022,1,35997,37838
CSAB,IIIT,NIT Trichy,Civil,7,2,OBC-NCL,OS,Gender-Neutral,2023,6,32972,36760
JoSAA,NIT,NIT Surathkal,Civil,9,4,SC,AI,Female-Only,2022,6,40301,44147
CSAB,IIIT,NIT Trichy,Electrical,2,4,SC,OS,Female-Only,2021,6,7789,8786
JoSAA,GFTI,NIT Trichy,Electrical,4,4,OPEN,AI,Female-Only,2021,6,3667,7790
CSAB,NIT,NIT Surathkal,Computer Science,6,3,ST,AI,Female-Only,2022,1,20832,21648
CSAB,IIIT,NIT Surathkal,Mechanical,3,1,ST,OS,Female-Only,2021,5,20874,24941
CSAB,NIT,NIT Warangal,Civil,8,1,OPEN,AI,Gender-Neutral,2023,3,23295,27416
JoSAA,IIIT,NIT Trichy,Computer Science,3,3,OPEN,AI,Female-Only,2022,3,37512,40827
CSAB,GFTI,IIIT Hyderabad,Computer Science,2,1,SC,HS,Female-Only,2021,6,47834,48324
JoSAA,GFTI,NIT Surathkal,Computer Science,3,2,EWS,HS,Gender-Neutral,2021,4,44198,48182
CSAB,NIT,NIT Warangal,Electrical,6,1,SC,HS,Gender-Neutral,2022,2,22357,24156
JoSAA,IIIT,IIIT Hyderabad,Civil,2,3,OPEN,HS,Female-Only,2021,1,4494,7631
CSAB,NIT,NIT Trichy,Civil,8,3,ST,AI,Female-Only,2022,4,36402,36734
JoSAA,NIT,NIT Warangal,Mechanical,1,2,SC,OS,Gender-Neutral,2021,4,22328,24354
JoSAA,IIIT,NIT Surathkal,Civil,7,4,EWS,AI,Female-Only,2023,6,12488,15719
CSAB,IIIT,IIIT Hyderabad,Civil,2,3,SC,AI,Gender-Neutral,2021,1,11419,14825
JoSAA,IIIT,NIT Surathkal,Computer Science,6,2,OBC-NCL,AI,Gender-Neutral,2021,3,6575,9399
JoSAA,GFTI,NIT Trichy,Mechanical,2,1,SC,OS,Female-Only,2022,2,31655,36556
CSAB,NIT,IIIT Hyderabad,Civil,2,1,OPEN,HS,Gender-Neutral,2021,3,18258,18591
JoSAA,NIT,NIT Trichy,Electrical,8,2,ST,AI,Female-Only,2022,4,14828,16319
JoSAA,GFTI,NIT Trichy,Civil,2,2,ST,AI,Female-Only,2023,2,44874,47866
JoSAA,IIIT,NIT Warangal,Computer Science,7,3,OPEN,HS,Female-Only,2022,5,29645,31000
CSAB,GFTI,NIT Surathkal,Electrical,3,1,OBC-NCL,AI,Gender-Neutral,2022,4,31200,33838
JoSAA,GFTI,IIIT Hyderabad,Computer Science,8,2,OPEN,OS,Female-Only,2021,3,16250,20040
CSAB,GFTI,NIT Trichy,Civil,7,1,SC,AI,Gender-Neutral,2023,3,33314,34303
JoSAA,NIT,NIT Trichy,Electrical,8,2,OPEN,AI,Female-Only,2022,6,32976,37763
JoSAA,GFTI,IIIT Hyderabad,Mechanical,7,1,OPEN,HS,Female-Only,2021,3,3339,4184
JoSAA,NIT,NIT Trichy,Mechanical,6,4,OBC-NCL,AI,Gender-Neutral,2021,1,38799,40618
CSAB,NIT,NIT Warangal,Electrical,7,3,SC,AI,Female-Only,2022,4,36921,37448
JoSAA,NIT,NIT Warangal,Electrical,5,1,EWS,OS,Female-Only,2021,2,30715,31546
JoSAA,IIIT,NIT Warangal,Computer Science,7,4,EWS,HS,Gender-Neutral,2022,3,13846,14745
CSAB,NIT,NIT Warangal,Electrical,1,1,ST,HS,Gender-Neutral,2022,6,21021,25418
JoSAA,NIT,NIT Trichy,Computer Science,1,1,OPEN,OS,Gender-Neutral,2022,6,22845,23780
CSAB,IIIT,IIIT Hyderabad,Civil,9,4,ST,AI,Female-Only,2023,3,1345,1579
CSAB,NIT,IIIT Hyderabad,Computer Science,5,1,OBC-NCL,HS,Gender-Neutral,2022,1,46707,49345
